"word","wordcount","latitude","longitude","country_code"
"Bethel","3","35.80710000","-77.37886000","US"
"Hopkins","3","33.90432000","-80.87703000","US"
"Ascona","3","46.15451000","8.77327000","CH"
"Pasadena","3","49.01671000","-57.59837000","CA"
"Pasadena","3","29.69106000","-95.20910000","US"
"Bethel","3","60.79222000","-161.75583000","US"
"Vogt","3","47.76667000","9.76667000","DE"
"Metz","3","49.11911000","6.17269000","FR"
"Wolfenbüttel","3","52.16442000","10.54095000","DE"
"Mayer","3","44.88496000","-93.88775000","US"
"Colmar","3","49.81028000","6.09722000","LU"
"Essen","3","51.45657000","7.01228000","DE"
"Pasadena","3","39.10733000","-76.57108000","US"
"Essen","3","51.46791000","4.46901000","BE"
"Lyon","3","45.74846000","4.84671000","FR"
"Idstein","3","50.21773000","8.26679000","DE"
"Haven","3","-36.76072000","142.19426000","AU"
"Grenoble","3","45.17869000","5.71479000","FR"
"Metz","3","45.93343000","6.10973000","FR"
"Homburg","3","49.32637000","7.33867000","DE"
"Ins","3","47.00584000","7.10609000","CH"
"Kassel","3","51.31667000","9.50000000","DE"
"Pasadena","3","-35.00274000","138.58862000","AU"
"Davis","3","38.54491000","-121.74052000","US"
"Pasadena","3","34.14778000","-118.14452000","US"
"Adelaide","3","-34.92866000","138.59863000","AU"
"Rastatt","3","48.85851000","8.20965000","DE"
"Augsburg","3","48.37154000","10.89851000","DE"
"Colmar","3","48.08078000","7.35584000","FR"
"Bethel","3","44.40423000","-70.79062000","US"
"Stelle","3","53.38416000","10.11138000","DE"
"Porrentruy","3","47.41728000","7.07573000","CH"
"Malmö","3","55.60587000","13.00073000","SE"
"Sedan","3","37.12672000","-96.18694000","US"
"Essen","3","52.72258000","7.93710000","DE"
"Disentis","3","46.70341000","8.85090000","CH"
"Nancy","3","48.68439000","6.18496000","FR"
"Dijon","3","47.31667000","5.01667000","FR"
"Davis","3","34.50453000","-97.11946000","US"
"Bethel","3","17.98527000","-76.58050000","JM"
"Bremgarten","3","47.35109000","8.34214000","CH"
"Manchester","2","35.48174000","-86.08860000","US"
"Bruno","2","44.79262000","8.43973000","IT"
"Laur","2","15.51969610","121.10070030","PH"
"Maryland","2","18.38679000","-78.12825000","JM"
"Alexandria","2","40.26282000","-85.67581000","US"
"Kaplan","2","29.99798000","-92.28485000","US"
"Olten","2","47.34999000","7.90329000","CH"
"Pavia","2","45.19205000","9.15917000","IT"
"Alfred","2","43.47647000","-70.71839000","US"
"Alexandria","2","-6.39998000","-37.96862000","BR"
"Seeberg","2","47.15585000","7.66567000","CH"
"Riga","2","56.94600000","24.10589000","LV"
"Concepcion","2","12.39750000","122.09361000","PH"
"Maryland","2","-32.87888000","151.66143000","AU"
"Concepcion","2","14.80000000","120.93333333","PH"
"Houston","2","55.86859000","-4.55201000","GB"
"Ithaca","2","42.44063000","-76.49661000","US"
"Houston","2","37.32616000","-91.95599000","US"
"Houston","2","33.89845000","-88.99923000","US"
"Nyon","2","46.38318000","6.23955000","CH"
"Matti","2","6.77055556","125.30861111","PH"
"Niederbipp","2","47.27175000","7.69583000","CH"
"Maryland","2","18.05166000","-76.74320000","JM"
"Tessin","2","54.02764000","12.46519000","DE"
"Aberdeen","2","18.20508000","-77.67932000","JM"
"Aberdeen","2","42.94408000","-112.83833000","US"
"Providence","2","41.82399000","-71.41283000","US"
"Minneapolis","2","44.97997000","-93.26384000","US"
"Alexandria","2","31.31129000","-92.44514000","US"
"Exeter","2","-34.83994000","138.48902000","AU"
"Unterseen","2","46.68530000","7.84722000","CH"
"Bordeaux","2","44.84044000","-0.58050000","FR"
"Philadelphia","2","39.95233000","-75.16379000","US"
"Kirchen","2","50.80849000","7.88634000","DE"
"Houston","2","29.76328000","-95.36327000","US"
"Concepcion","2","10.69200000","123.06080000","PH"
"Gerber","2","40.05627000","-122.15027000","US"
"Exeter","2","43.34358630","-81.49726020","CA"
"Manchester","2","43.69054000","-89.04845000","US"
"Panama","2","35.16732000","-94.67245000","US"
"Vevey","2","46.46299000","6.84345000","CH"
"Brig","2","46.31667000","7.98333000","CH"
"Manchester","2","41.77593000","-72.52148000","US"
"Zuoz","2","46.60206000","9.95965000","CH"
"Pavia","2","10.76564120","122.49686030","PH"
"Alexandria","2","31.20176000","29.91582000","EG"
"Alexandria","2","18.30411000","-77.35311000","JM"
"Oberdiessbach","2","46.84117000","7.61730000","CH"
"Herzogenbuchsee","2","47.18795000","7.70620000","CH"
"Ithaca","2","43.29170000","-84.60750000","US"
"Alexandria","2","43.61146000","-71.79286000","US"
"Bogota","2","40.87621000","-74.02986000","US"
"Agronom","2","45.14021000","39.19484000","RU"
"Rorschach","2","47.47800000","9.49030000","CH"
"Horgen","2","47.25983000","8.59778000","CH"
"Manchester","2","42.99564000","-71.45479000","US"
"Laufen","2","47.42193000","7.49946000","CH"
"Göteborg","2","57.70716000","11.96679000","SE"
"Bätterkinden","2","47.13164000","7.53817000","CH"
"Albert","2","50.00091000","2.65096000","FR"
"Heilbronn","2","49.13995000","9.22054000","DE"
"Louisiana","2","39.44894000","-91.05153000","US"
"Rotterdam","2","42.78702000","-73.97096000","US"
"Potsdam","2","52.39886000","13.06566000","DE"
"Bethesda","2","53.18150000","-4.05828000","GB"
"Manchester","2","42.96979000","-77.23026000","US"
"Exeter","2","41.32064000","-75.81908000","US"
"Alexandria","2","43.98333000","25.33333000","RO"
"Alexandria","2","33.77399000","-85.88552000","US"
"Manchester","2","38.59700000","-90.50929000","US"
"Seedorf","2","47.03445000","7.31249000","CH"
"Manchester","2","53.41667000","-2.25000000","GB"
"Wynau","2","47.25570000","7.81626000","CH"
"Erlach","2","47.04220000","7.09728000","CH"
"Haag","2","48.11362000","14.56753000","AT"
"Rotterdam","2","51.92250000","4.47917000","NL"
"Upton","2","44.09970000","-104.62802000","US"
"Alexandria","2","55.99379000","-4.58640000","GB"
"Wuppertal","2","51.25627000","7.14816000","DE"
"Alfred","2","42.25424000","-77.79055000","US"
"Samedan","2","46.53399000","9.87276000","CH"
"Manchester","2","44.32451000","-69.86033000","US"
"Gotha","2","28.52778000","-81.52313000","US"
"Köniz","2","46.92436000","7.41457000","CH"
"Aberdeen","2","22.24700000","114.15200000","HK"
"Philadelphia","2","44.15450000","-75.70882000","US"
"Providence","2","41.70632000","-111.81717000","US"
"Seedorf","2","46.88199000","8.61611000","CH"
"Wädenswil","2","47.22683000","8.66870000","CH"
"Aberdeen","2","39.50956000","-76.16412000","US"
"Aberdeen","2","45.46470000","-98.48648000","US"
"Houston","2","40.24646000","-80.21145000","US"
"Concepcion","2","12.92496680","121.66804690","PH"
"Wangen","2","47.41182000","8.64516000","CH"
"Manchester","2","32.85985000","-84.61993000","US"
"Aberdeen","2","-32.16588000","150.89003000","AU"
"Lüneburg","2","53.25090000","10.41409000","DE"
"Ulm","2","48.39841000","9.99155000","DE"
"Aberdeen","2","46.97537000","-123.81572000","US"
"Mulhouse","2","47.75205000","7.32866000","FR"
"Haag","2","48.27063000","14.26875000","AT"
"Engelberg","2","46.82107000","8.40133000","CH"
"Kloster","2","46.88333000","15.08333000","AT"
"Alexandria","2","38.80484000","-77.04692000","US"
"Exeter","2","50.72360000","-3.52751000","GB"
"Bethesda","2","40.01618000","-81.07260000","US"
"Zwickau","2","50.72724000","12.48839000","DE"
"Exeter","2","36.29606000","-119.14205000","US"
"Rüti","2","47.25603000","8.85552000","CH"
"Ferenbalm","2","46.94880000","7.21124000","CH"
"Concepcion","2","7.75055556","125.71194444","PH"
