"prosopid","verwandt","verwandtid"
"0.0.48",Vater von Professor Daniel Rudolf ( Nr. 62 ),"0.0.62"
"0.0.48",Grossvater von Professor Samuel Ludwig Rudolf ( Nr. 82 ),"0.0.82"
"0.0.82",Enkel von Professor Johann Rudolph Rudolf ( Nr. 48 ),"0.0.48"
"0.0.82",Sohn von Professor Daniel Rudolf ( Nr. 62 ),"0.0.62"
"0.0.66",Bruder von Professor Johann Jakob Salchli ( Nr. 75 ),"0.0.75"
"3.1.2",Schwager von Philipp Albert Stapfer Prof. der Hohen Schule ( Nr. 91 ) helvetischer Minister,"0.0.91"
"0.0.95",Neffe von Professor Johannes Stapfer ( Nr. 79 ),"0.0.79"
"0.0.79",Onkel der Professoren Philipp Albert ( Nr. 91 ),"0.0.91"
"0.0.79",Johann Friedrich Stapfer ( Nr. 95 ),"0.0.95"
"0.0.91",Bruder von Professor Johann Friedrich Stapfer ( Nr. 95 ),"0.0.95"
"0.0.91",Neffe von Professor Johannes Stapfer ( Nr. 79 ),"0.0.79"
"0.0.85",Onkel von Professor Samuel Emanuel Studer ( Nr. 93 ),"0.0.93"
"0.0.85",Schwiegervater von Professor Gottlieb Risold ( Nr. 90 ),"0.0.90"
"0.0.93",Neffe von Professor Daniel Ludwig Studer ( Nr. 85 ),"0.0.85"
"4.3.10",Gatte von HonP Franziska Baumgarten-Tramer ( 6. 4. 59 ),"6.4.59"
"4.1.3",Vater von aoP Johann Friedrich Albrecht Tribolet ( 4. 2. 5 ),"4.2.5"
"4.2.10",Sohn von oP Gabriel Gustav Valentin ( 4. 1. 13 ),"4.1.13"
"4.2.10",Vater von PD Francis Valentin ( 4. 4. 85 ),"4.4.85"
"4.4.85",Sohn von aoP A. Valentin ( 4. 2. 10 ),"4.2.10"
"4.1.13",Vater von aoP Adolf Valentin ( 4. 2. 10 ),"4.2.10"
"4.1.33",Sohn von oP Wilhelm Philipp Friedrich Vogt ( 4. 1. 12 ),"4.1.12"
"4.1.33",Bruder von oP Emil Vogt ( 3. 1. 19 ),"3.1.19"
"4.1.33",von oP Gustav Vogt ( 3. 1. 15 ),"3.1.15"
"3.1.19",Sohn von oP Wilhelm Philipp Friedrich Vogt ( 4. 1. 12 ),"4.1.12"
"3.1.19",Bruder von oP Adolf Vogt ( 4. 1. 33 ),"4.1.33"
"3.1.19",von oP Gustav Vogt ( 3. 1. 15 ),"3.1.15"
"3.1.15",Sohn von oP Wilhelm Philipp Friedrich Vogt ( 4. 1. 12 ),"4.1.12"
"3.1.15",Bruder von oP Adolf Vogt ( 4. 1. 33 ),"4.1.33"
"3.1.15",von oP Emil Vogt ( 3. 1. 19 ),"3.1.19"
"4.1.12",Vater von oP Adolf Vogt ( 4. 1. 33 ),"4.1.33"
"4.1.12",oP Emil Vogt ( 3. 1. 19 ),"3.1.19"
"4.1.12",oP Gustav Vogt ( 3. 1. 15 ),"3.1.15"
"3.2.20",Sohn von aoP Paul Volmar ( 6. 2. 14 ),"6.2.14"
"6.2.6",Vater von aoP Paul Volmar ( 6. 2. 14 ),"6.2.14"
"6.2.14",Vater von aoP Friedrich Volmar ( 3. 2. 20 ),"3.2.20"
"6.2.14",Sohn von aoP Joseph Simeon Volmar ( 6. 2. 6 ),"6.2.6"
"6.4.69",Sohn von oP Eduard Fischer ( 7. 1. 23 ),"7.1.23"
"4.1.79",Sohn von Titularprofessor Max Rudolf Robert Walthard ( 4. 3. 4 ),"4.3.4"
"4.4.98",Neffe von HonP Max Rudolf Robert Walthard ( 4. 3. 4 ),"4.3.4"
"4.3.4",Vater von oP Bernhard Walthard ( 4. 1. 79 ),"4.1.79"
"4.3.4",Onkel von PD Hermann Walthard ( 4. 4. 98 ),"4.4.98"
"4.1.53",Schwager von oP Werner Näf ( 6. 1. 53 ),"6.1.53"
"4.2.36",Sohn von oP Hans Wildbolz ( 4. 1. 72 ),"4.1.72"
"2.1.7",Vater von aoP Gertrud Woker ( 7. 2. 21 ),"7.2.21"
"6.1.27",Vater von aoP Gertrud Woker ( 7. 2. 21 ),"7.2.21"
"4.1.85",Vater von PD Klaus Zuppinger ( 4. 4. 156 ),"4.4.156"
"4.4.156",Sohn von oP Adolf Zuppinger ( 4. 1. 85 ),"4.1.85"
"4.1.1",Bruder von oP Carl Friedrich Emmert ( 5. 1. 1 A ),"5.1.1A"
"4.2.1",Vater von oP med. Samuel Albrecht Tribolet ( 4. 1. 3 A ),"4.1.3A"
"4.2.5",Sohn von Samuel Albrecht Tribolet Professor der Akademie Stadtarzt Bern ( 4. 1. 3 A ),"4.1.3A"
"7.2.21",Tochter von oP Philipp Woker ( 2. 1. 7 / 6. 1. 27 ),"2.1.7"
"0.0.70",Schwiegervater von Professor Samuel Anton Wilhelmi ( Nr. 83 ),"0.0.83"
"4.1.6",Sohn von Professor Johannes Samuel Ith ( Prof. Hohe Schule Nr. 88 ),"0.0.88"
"0.0.81",Vater von Professor Johann David Kocher ( Nr. 94 ),"0.0.94"
"0.0.75",Bruder von Professor Johann Rudolf Salchli ( Nr. 66 ),"0.0.66"
"3.2.5",Sohn von Albrecht Friedrich Stettier Professor am Politischen Institut Bern,
"0.0.78",Schwiegervater von Professor Johannes Samuel Ith ( Nr. 88 ),"0.0.88"
"0.0.83",Schwiegersohn von Professor Johann Georg Altmann ( Nr. 70 ),"0.0.70"
"0.0.45",Schwiegervater von Professor Jakob Hortin ( Nr. 63 ),"0.0.63"
